"","logFC","logCPM","PValue","FDR"
"s__Coprobacter_sp",-0.950096465301324,8.27170221020305,0.316324256320052,0.6129051869845
"s__Lachnospira_pectinoschiza",0.911928222795894,9.62913518356139,0.317921102235643,0.6129051869845
"s__Ruminococcus_lactaris",0.914791444012693,13.6098198130975,0.325602058359503,0.6129051869845
"s__Clostridium_leptum",0.774088970639354,10.7579555660958,0.330480141759756,0.6129051869845
"s__Bacteroides_xylanisolvens",0.91639103685203,13.2223009805571,0.334611532740097,0.6129051869845
"s__Coprococcus_catus",-0.641249157258499,11.9574456752048,0.338658278077125,0.6129051869845
"s__Collinsella_stercoris",0.823287132529061,7.3763146976382,0.338841891991431,0.6129051869845
"s__Bacteroides_ovatus",0.667421870929824,14.3094384840331,0.352297217890997,0.621268183094353
"s__Roseburia_intestinalis",0.858843911824719,13.7970518940302,0.353567258671583,0.621268183094353
"s__Clostridium_sp_CAG_58",0.668289582521467,9.40886262667607,0.392873207512316,0.675146611367326
"s__Parabacteroides_merdae",0.728004118656352,13.1837344469848,0.395207772507703,0.675146611367326
"s__Alistipes_finegoldii",0.634113050657244,12.3946611241734,0.422704432033206,0.712228015617594
"s__Eggerthella_lenta",0.600672519809636,12.4423425024828,0.437532593121918,0.713077025267706
"s__Parasutterella_excrementihominis",0.69610850035435,9.44001586287572,0.446616027024552,0.713077025267706
"s__Bacteroides_dorei",-0.763574081674059,13.9076496395599,0.447488710276689,0.713077025267706
"s__Dialister_invisus",0.567872084782404,11.2053839371999,0.451864255986302,0.713077025267706
"s__Roseburia_hominis",-0.480436263654941,13.7536194784658,0.45219518675513,0.713077025267706
"s__Alistipes_shahii",-0.627863234593977,11.5192216534097,0.479743796090431,0.746942872393962
"s__Roseburia_sp_CAG_471",0.670194655618977,9.76339394064019,0.491306193318232,0.755383272226782
"s__Collinsella_aerofaciens",-0.451118589328979,14.4881309110762,0.514719072726779,0.775510600469385
"s__Blautia_hydrogenotrophica",0.674650239635213,10.7646540219527,0.51700706697959,0.775510600469385
"s__Bacteroides_uniformis",-0.292293110384203,15.9308685914063,0.53812738841794,0.797465888860321
"s__Clostridium_sp_CAG_299",0.540470327796576,6.53777019587733,0.574356460567624,0.841021960116879
"s__Barnesiella_intestinihominis",-0.542728905037602,12.8288726974333,0.594561376912066,0.841915178806405
"s__Gemmiger_formicilis",0.33309004166315,10.9521538465532,0.599261527958909,0.841915178806405
"s__Dorea_formicigenerans",0.24877163172244,13.8034253999979,0.599298439932634,0.841915178806405
"s__Catabacter_hongkongensis",-0.426764441803935,3.9905982872791,0.607337873512951,0.841915178806405
"s__Adlercreutzia_equolifaciens",0.304984525269393,11.4711680572628,0.613229718203887,0.841915178806405
"s__Bacteroides_thetaiotaomicron",0.487948446792273,11.9990131725532,0.616035496687613,0.841915178806405
"s__Bacteroides_eggerthii",0.567139010034211,12.1143309182467,0.63391336436124,0.842098152023401
"s__Coprococcus_eutactus",-0.441423042988298,13.5699383864661,0.637323162888273,0.842098152023401
"s__Roseburia_inulinivorans",0.341005252741776,12.6717043977935,0.649353137571,0.842098152023401
"s__Alistipes_indistinctus",0.482284370151375,9.58201586178238,0.652196826362517,0.842098152023401
"s__Erysipelatoclostridium_ramosum",0.488104972306435,9.66161411449945,0.661002739202349,0.842098152023401
"s__Eisenbergiella_tayi",0.417357862528906,9.45129276766449,0.663970888663494,0.842098152023401
"s__Bifidobacterium_longum",-0.223611443903407,15.9967246020031,0.668201003718103,0.842098152023401
"s__Bacteroides_stercoris",-0.460055330691959,12.6401511417687,0.670939991043035,0.842098152023401
"s__Escherichia_coli",0.395865102337846,10.6924749820956,0.697325378837504,0.854287980732919
"s__Clostridium_sp_CAG_167",-0.372371565223927,7.87310268106414,0.697599293835777,0.854287980732919
"s__Streptococcus_thermophilus",-0.37049781515163,10.4218756749655,0.708431006676511,0.854287980732919
"s__Roseburia_sp_CAG_182",0.400653002603495,10.8490229341055,0.708433935241933,0.854287980732919
"s__Ruminococcus_bromii",-0.227420463275382,14.5162204732587,0.740396506997059,0.870047035583989
"s__Tyzzerella_nexilis",-0.289990895631275,5.95323560818984,0.748429396736707,0.870047035583989
"s__Gordonibacter_pamelaeae",-0.200138178179395,10.9614398197229,0.749469385206148,0.870047035583989
"s__Desulfovibrio_piger",-0.331313699241718,8.29962629649553,0.749796632291893,0.870047035583989
"s__Bacteroides_intestinalis",-0.346931615784417,11.167021751901,0.763731572701233,0.877934424693941
"s__Lawsonibacter_asaccharolyticus",0.246206125943773,6.33471302983413,0.784566484823247,0.88810383921973
"s__Clostridium_innocuum",0.253658471789736,9.24254983739822,0.787018849389842,0.88810383921973
"s__Eubacterium_sp_CAG_180",0.250499698954783,10.3511047776571,0.812850188395622,0.902956376792209
"s__Faecalibacterium_prausnitzii",0.087732689136775,15.7597852462264,0.818214649501437,0.902956376792209
"s__Bifidobacterium_bifidum",-0.226093827100219,13.7546484077443,0.826627788737189,0.902956376792209
"s__Firmicutes_bacterium_CAG_83",-0.158605555280585,10.5809975112488,0.829545289248127,0.902956376792209
"s__Firmicutes_bacterium_CAG_145",0.150889346032199,8.38727829549684,0.875453377021074,0.944568117312212
"s__Alistipes_putredinis",-0.0909510079384427,14.5922160947971,0.88704026232269,0.945194282532833
"s__Intestinibacter_bartlettii",-0.106429600808671,11.2038541139472,0.891402737998444,0.945194282532833
"s__Odoribacter_splanchnicus",-0.0941764018559141,11.9559684361927,0.913680574123616,0.960535988181237
"s__Anaeromassilibacillus_sp_An250",0.0727363644186041,6.97369794939671,0.936023403072612,0.975685411677384
"s__Eubacterium_ventriosum",-0.0443940532538216,10.4171388522151,0.960357357073414,0.982832905831844
"s__Eubacterium_sp_CAG_251",-0.0491741087193515,8.00885868869777,0.961853888073325,0.982832905831844
"s__Bacteroides_caccae",0.0348180242431683,13.4583323185928,0.96685188297279,0.982832905831844
"s__Firmicutes_bacterium_CAG_110",0.0239023693034878,10.2632921095275,0.980825738943579,0.984200597903763
"s__Asaccharobacter_celatus",-0.011800063277649,11.916522011685,0.984200597903763,0.984200597903763
