"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"25","s__Bacteroides_uniformis",0,FALSE,FALSE,FALSE,FALSE
"26","s__Bacteroides_vulgatus",0,FALSE,FALSE,FALSE,FALSE
"27","s__Bacteroides_xylanisolvens",0,FALSE,FALSE,FALSE,FALSE
"28","s__Barnesiella_intestinihominis",0,FALSE,FALSE,FALSE,FALSE
"29","s__Coprobacter_sp",0,FALSE,FALSE,FALSE,FALSE
"30","s__Odoribacter_splanchnicus",0,FALSE,FALSE,FALSE,FALSE
"31","s__Prevotella_copri",0,FALSE,FALSE,FALSE,FALSE
"32","s__Alistipes_finegoldii",0,FALSE,FALSE,FALSE,FALSE
"33","s__Alistipes_indistinctus",0,FALSE,FALSE,FALSE,FALSE
"34","s__Alistipes_putredinis",0,FALSE,FALSE,FALSE,FALSE
"35","s__Alistipes_shahii",0,FALSE,FALSE,FALSE,FALSE
"36","s__Parabacteroides_distasonis",0,FALSE,FALSE,FALSE,FALSE
"37","s__Parabacteroides_goldsteinii",0,FALSE,FALSE,FALSE,FALSE
"38","s__Parabacteroides_merdae",0,FALSE,FALSE,FALSE,FALSE
"39","s__Lactobacillus_rogosae",0,FALSE,FALSE,FALSE,FALSE
"40","s__Streptococcus_parasanguinis",0,FALSE,FALSE,FALSE,FALSE
"41","s__Streptococcus_salivarius",0,FALSE,FALSE,FALSE,FALSE
"42","s__Streptococcus_thermophilus",0,FALSE,FALSE,FALSE,FALSE
"43","s__Catabacter_hongkongensis",0,FALSE,FALSE,FALSE,FALSE
"44","s__Christensenella_minuta",0,FALSE,FALSE,FALSE,FALSE
"45","s__Clostridium_disporicum",0,FALSE,FALSE,FALSE,FALSE
"46","s__Clostridium_sp_CAG_167",0,FALSE,FALSE,FALSE,FALSE
"47","s__Clostridium_sp_CAG_299",0,FALSE,FALSE,FALSE,FALSE
"48","s__Clostridium_sp_CAG_58",0,FALSE,FALSE,FALSE,FALSE
"49","s__Hungatella_hathewayi",0,FALSE,FALSE,FALSE,FALSE
"50","s__Intestinimonas_butyriciproducens",0,FALSE,FALSE,FALSE,FALSE
"51","s__Lawsonibacter_asaccharolyticus",0,FALSE,FALSE,FALSE,FALSE
"52","s__Monoglobus_pectinilyticus",0,FALSE,FALSE,FALSE,FALSE
"53","s__Eubacterium_eligens",0,FALSE,FALSE,FALSE,FALSE
"54","s__Eubacterium_hallii",0,FALSE,FALSE,FALSE,FALSE
"55","s__Eubacterium_ramulus",0,FALSE,FALSE,FALSE,FALSE
"56","s__Eubacterium_sp_CAG_180",0,FALSE,FALSE,FALSE,FALSE
"57","s__Eubacterium_sp_CAG_251",0,FALSE,FALSE,FALSE,FALSE
"58","s__Eubacterium_sp_CAG_274",0,FALSE,FALSE,FALSE,FALSE
"59","s__Eubacterium_sp_CAG_38",0,FALSE,FALSE,FALSE,FALSE
"60","s__Eubacterium_ventriosum",0,FALSE,FALSE,FALSE,FALSE
"61","s__Anaerostipes_hadrus",0,FALSE,FALSE,FALSE,FALSE
"62","s__Blautia_hydrogenotrophica",0,FALSE,FALSE,FALSE,FALSE
"63","s__Blautia_obeum",0,FALSE,FALSE,FALSE,FALSE
"64","s__Blautia_sp_CAG_257",0,FALSE,FALSE,FALSE,FALSE
"65","s__Blautia_wexlerae",1,FALSE,FALSE,FALSE,FALSE
"66","s__Ruminococcus_gnavus",0,FALSE,FALSE,FALSE,FALSE
"67","s__Ruminococcus_torques",0,FALSE,FALSE,FALSE,FALSE
"68","s__Coprococcus_catus",0,FALSE,FALSE,FALSE,FALSE
"69","s__Coprococcus_comes",0,FALSE,FALSE,FALSE,FALSE
"70","s__Coprococcus_eutactus",0,FALSE,FALSE,FALSE,FALSE
"71","s__Dorea_formicigenerans",0,FALSE,FALSE,FALSE,FALSE
"72","s__Dorea_longicatena",0,FALSE,FALSE,FALSE,FALSE
"73","s__Eisenbergiella_massiliensis",0,FALSE,FALSE,FALSE,FALSE
"74","s__Eisenbergiella_tayi",0,FALSE,FALSE,FALSE,FALSE
"75","s__Fusicatenibacter_saccharivorans",0,FALSE,FALSE,FALSE,FALSE
"76","s__Clostridium_bolteae",0,FALSE,FALSE,FALSE,FALSE
"77","s__Clostridium_scindens",0,FALSE,FALSE,FALSE,FALSE
"78","s__Clostridium_symbiosum",0,FALSE,FALSE,FALSE,FALSE
"79","s__Eubacterium_rectale",0,FALSE,FALSE,FALSE,FALSE
"80","s__Lachnospira_pectinoschiza",0,FALSE,FALSE,FALSE,FALSE
"81","s__Roseburia_faecis",0,FALSE,FALSE,FALSE,FALSE
"82","s__Roseburia_hominis",0,FALSE,FALSE,FALSE,FALSE
"83","s__Roseburia_intestinalis",0,FALSE,FALSE,FALSE,FALSE
"84","s__Roseburia_inulinivorans",0,FALSE,FALSE,FALSE,FALSE
"85","s__Roseburia_sp_CAG_182",0,FALSE,FALSE,FALSE,FALSE
"86","s__Roseburia_sp_CAG_471",0,FALSE,FALSE,FALSE,FALSE
"87","s__Sellimonas_intestinalis",0,FALSE,FALSE,FALSE,FALSE
"88","s__Tyzzerella_nexilis",0,FALSE,FALSE,FALSE,FALSE
"89","s__Oscillibacter_sp_57_20",0,FALSE,FALSE,FALSE,FALSE
"90","s__Oscillibacter_sp_CAG_241",0,FALSE,FALSE,FALSE,FALSE
"91","s__Intestinibacter_bartlettii",0,FALSE,FALSE,FALSE,FALSE
"92","s__Romboutsia_ilealis",0,FALSE,FALSE,FALSE,FALSE
"93","s__Agathobaculum_butyriciproducens",0,FALSE,FALSE,FALSE,FALSE
"94","s__Anaeromassilibacillus_sp_An250",0,FALSE,FALSE,FALSE,FALSE
"95","s__Anaerotruncus_colihominis",0,FALSE,FALSE,FALSE,FALSE
"96","s__Faecalibacterium_prausnitzii",0,FALSE,FALSE,FALSE,FALSE
"97","s__Flavonifractor_plautii",0,FALSE,FALSE,FALSE,FALSE
"98","s__Gemmiger_formicilis",0,FALSE,FALSE,FALSE,FALSE
"99","s__Clostridium_leptum",0,FALSE,FALSE,FALSE,FALSE
"100","s__Eubacterium_siraeum",0,FALSE,FALSE,FALSE,FALSE
"101","s__Ruminococcus_bicirculans",0,FALSE,FALSE,FALSE,FALSE
"102","s__Ruminococcus_bromii",0,FALSE,FALSE,FALSE,FALSE
"103","s__Ruminococcus_callidus",0,FALSE,FALSE,FALSE,FALSE
"104","s__Ruminococcus_lactaris",0,FALSE,FALSE,FALSE,FALSE
"105","s__Ruthenibacterium_lactatiformans",0,FALSE,FALSE,FALSE,FALSE
"106","s__Coprobacillus_cateniformis",0,FALSE,FALSE,FALSE,FALSE
"107","s__Clostridium_innocuum",0,FALSE,FALSE,FALSE,FALSE
"108","s__Clostridium_spiroforme",0,FALSE,FALSE,FALSE,FALSE
"109","s__Erysipelatoclostridium_ramosum",0,FALSE,FALSE,FALSE,FALSE
"110","s__Holdemania_filiformis",0,FALSE,FALSE,FALSE,FALSE
"111","s__Turicibacter_sanguinis",0,FALSE,FALSE,FALSE,FALSE
"112","s__Firmicutes_bacterium_CAG_110",0,FALSE,FALSE,FALSE,FALSE
"113","s__Firmicutes_bacterium_CAG_145",0,FALSE,FALSE,FALSE,FALSE
"114","s__Firmicutes_bacterium_CAG_83",0,FALSE,FALSE,FALSE,FALSE
"115","s__Phascolarctobacterium_faecium",0,FALSE,FALSE,FALSE,FALSE
"116","s__Dialister_invisus",0,FALSE,FALSE,FALSE,FALSE
"117","s__Parasutterella_excrementihominis",0,FALSE,FALSE,FALSE,FALSE
"118","s__Bilophila_wadsworthia",0,FALSE,FALSE,FALSE,FALSE
"119","s__Desulfovibrio_piger",0,FALSE,FALSE,FALSE,FALSE
"120","s__Escherichia_coli",0,FALSE,FALSE,FALSE,FALSE
"121","s__Haemophilus_parainfluenzae",0,FALSE,FALSE,FALSE,FALSE
"122","s__Proteobacteria_bacterium_CAG_139",0,FALSE,FALSE,FALSE,FALSE
"123","s__Akkermansia_muciniphila",0,FALSE,FALSE,FALSE,FALSE
