"","+samples in group 0","+samples in group 1","counts in group 0","counts in group 1","oddsRatio","lower","upper","fisherP","fisherAdjP","logFC","se","pvalues","adjPvalues"
"s__Bacteroides_eggerthii",4,4,327759,490483,1,0.168856502148237,5.92218829170173,1,1,1.16868582069459,1.63213291488876,0.473961592951565,0.971223583969656
"s__Clostridium_spiroforme",11,17,29607,62256,0.476111063783231,0.154144542781317,1.41822280169699,0.212743309335758,1,1.14341504330712,0.607035415921393,0.0596184030245237,0.871643596027039
"s__Bifidobacterium_animalis",6,6,151743,333151,1,0.234310274430535,4.26784528519029,1,1,1.13179038417921,1.33627544979977,0.397009688180615,0.971223583969656
"s__Ruminococcus_gnavus",26,26,450889,2777044,1,0.258143609368294,3.87381272946137,1,1,1.12902484465708,0.609058012319476,0.0637787997092956,0.871643596027039
"s__Lactobacillus_rogosae",6,5,6055,1814,1.24032648400159,0.278047970703147,5.79562439665393,1,1,-1.09981024042781,0.894423077470944,0.218835358985871,0.971223583969656
"s__Coprobacillus_cateniformis",6,4,225075,16368,1.5995472541819,0.33660287346841,8.58567208660014,0.733016256202521,1,-1.07652280223136,1.36567277686611,0.430537111981346,0.971223583969656
"s__Bifidobacterium_catenulatum",13,4,1103185,45727,4.60136328362519,1.19541444392222,22.2476852485294,0.0226624244349018,1,-1.05153427125812,1.36601467105243,0.441428886271857,0.971223583969656
"s__Eisenbergiella_tayi",12,11,70587,68345,1.14054394753791,0.368340446186262,3.56050267272597,1,1,-1.02092827189039,0.692955525546732,0.140671367965409,0.971223583969656
"s__Ruminococcus_bicirculans",23,16,905434,201353,2.40991586447321,0.799174213956549,7.60670643689006,0.13241494149578,1,-0.969262378791151,0.603088217626218,0.108018139953289,0.971223583969656
"s__Streptococcus_parasanguinis",13,8,18404,3860,2.00931712681222,0.626160533058809,6.80505460984949,0.290464048696213,1,-0.961041721251385,0.749487758418483,0.199749794597946,0.971223583969656
"s__Bifidobacterium_adolescentis",33,33,8334932,4400273,0,0,Inf,1,1,-0.925266328153734,2.22990753125182,0.678189603135447,0.971223583969656
"s__Clostridium_scindens",4,6,3332,13166,0.625176903893006,0.116473118226903,2.97085996235219,0.733016256202521,1,0.924491586097788,1.22671841147002,0.451071528119466,0.971223583969656
"s__Alistipes_indistinctus",6,6,53429,73180,1,0.234310274430535,4.26784528519029,1,1,-0.906239082453929,1.14694441702463,0.429449870600159,0.971223583969656
"s__Flavonifractor_plautii",20,26,153508,429716,0.419857935522896,0.118045492525178,1.38450279487293,0.179843483059875,1,0.855014478961945,0.455076810131944,0.0602669542439569,0.871643596027039
"s__Ruminococcus_lactaris",20,21,642170,1210949,0.880841149686265,0.288940682299879,2.66670980663523,1,1,0.848801017488845,0.69849093811728,0.224292643051992,0.971223583969656
"s__Blautia_wexlerae",33,33,2139040,3618686,0,0,Inf,1,1,0.81128146018053,1.40475815684673,0.563585573739136,0.971223583969656
"s__Erysipelatoclostridium_ramosum",2,5,136519,51301,0.366682048384516,0.0324687261547899,2.46073016936539,0.426649852879361,1,-0.79940957937801,1.8739431550176,0.669676361980489,0.971223583969656
"s__Eubacterium_sp_CAG_274",7,10,25174,85550,0.623766784662197,0.170799098988966,2.16424730859761,0.57433723866251,1,0.782574216369573,0.892811000347928,0.380742832742815,0.971223583969656
"s__Eubacterium_sp_CAG_251",5,2,60232,29128,2.72715832260041,0.406383443601171,30.7988676621512,0.426649852879361,1,-0.758709304151138,1.4330804485308,0.596510326590538,0.971223583969656
"s__Holdemania_filiformis",9,10,6491,31305,0.864437751518476,0.257825699782991,2.86193495439176,1,1,0.757214547584711,0.719069398269263,0.292319021577237,0.971223583969656
"s__Oscillibacter_sp_CAG_241",16,12,95744,29401,1.63448906980673,0.552236084415414,4.95272520798971,0.455303478891767,1,-0.755133275989192,0.626427257300153,0.22802560184531,0.971223583969656
"s__Eubacterium_rectale",33,33,9395386,2577007,0,0,Inf,1,1,-0.720429186098512,1.85150087466045,0.697198100054585,0.971223583969656
"s__Roseburia_faecis",32,28,3333916,1571975,5.58290380064404,0.575154968552658,278.127111957961,0.196781360715787,1,-0.668497395922376,0.600307507432987,0.26545443295409,0.971223583969656
"s__Clostridium_sp_CAG_167",7,8,24108,35458,0.843553563218983,0.223307535403206,3.11740160460962,1,1,0.660784617354761,1.05781606364626,0.53218850018259,0.971223583969656
"s__Desulfovibrio_piger",3,5,38903,22260,0.564893792552213,0.080207987268851,3.21727399584981,0.708466026887811,1,-0.638679838017821,1.32936231641791,0.630914019082676,0.971223583969656
"s__Sellimonas_intestinalis",12,11,148470,162855,1.14054394753791,0.368340446186262,3.56050267272597,1,1,0.635568299368523,0.749547514681164,0.396473630611135,0.971223583969656
"s__Phascolarctobacterium_faecium",10,9,38853,62543,1.15682129597347,0.349413951028293,3.87858929828054,1,1,0.626374004567421,0.784919757280588,0.424864547262785,0.971223583969656
"s__Bacteroides_intestinalis",3,5,263836,83804,0.564893792552213,0.080207987268851,3.21727399584981,0.708466026887811,1,-0.576922495882512,1.32054399692103,0.662196600664669,0.971223583969656
"s__Bilophila_wadsworthia",13,9,13088,23642,1.71878821044516,0.546905447445773,5.60837221347411,0.4338610782248,1,0.567319779049414,0.619481282909222,0.35977280263354,0.971223583969656
"s__Akkermansia_muciniphila",20,16,875176,405182,1.62232544650722,0.553121798161661,4.86227515509036,0.458647672059954,1,-0.553306298227153,0.607422891809195,0.362343913737762,0.971223583969656
"s__Bacteroides_fragilis",26,21,4066486,1238894,2.09816479145766,0.628126127623133,7.50967207964697,0.276768169141238,1,0.545113687751871,0.609937465808656,0.371471392023669,0.971223583969656
"s__Streptococcus_thermophilus",12,12,131932,132931,1,0.32591619554353,3.06827342020331,1,1,0.537749254292842,0.790022048593637,0.496076360388165,0.971223583969656
"s__Bacteroides_massiliensis",5,4,29724,55389,1.28959035676022,0.248803802030772,7.20604350185124,1,1,0.526005501028684,1.08803959100235,0.628780976756947,0.971223583969656
"s__Romboutsia_ilealis",7,6,2620,1637,1.20801829097011,0.301602288219816,4.99165373887088,1,1,-0.491773134192952,0.824242120437887,0.550749934298875,0.971223583969656
"s__Prevotella_copri",5,4,744154,671632,1.28959035676022,0.248803802030772,7.20604350185124,1,1,-0.488828926593148,1.16598161917635,0.6750389913319,0.971223583969656
"s__Oscillibacter_sp_57_20",25,20,105306,55769,2.00931712681222,0.626160533058809,6.80505460984948,0.290464048696213,1,-0.463845458790987,0.423120202477695,0.272969449241026,0.971223583969656
"s__Collinsella_aerofaciens",29,31,2759945,1919726,0.473016140328577,0.0399270400078624,3.58916538449595,0.672371344502492,1,-0.463800682367427,0.672281038419057,0.490262694406241,0.971223583969656
"s__Roseburia_sp_CAG_471",16,16,49842,56352,1,0.341907088705092,2.92477118209894,1,1,-0.462152646316427,0.718976211146865,0.52035863289539,0.971223583969656
"s__Roseburia_hominis",31,28,1335027,925063,2.72715832260041,0.406383443601171,30.798867662151,0.426649852879361,1,-0.461678325625998,0.391104897554243,0.237822760090735,0.971223583969656
"s__Firmicutes_bacterium_CAG_145",10,7,40174,28001,1.60316327285935,0.46205440386939,5.85483182241261,0.57433723866251,1,-0.439650115873951,0.841997806438428,0.601565101000579,0.971223583969656
"s__Monoglobus_pectinilyticus",19,22,319486,776552,0.68260397360364,0.220983067957441,2.06434822583273,0.612281990183376,1,0.428616097109642,0.593196085852002,0.469954049345317,0.971223583969656
"s__Bacteroides_thetaiotaomicron",16,14,502652,384344,1.27255874418094,0.434441681948638,3.76707822218515,0.805010535907851,1,-0.427670828930943,0.645934039803435,0.507909218095827,0.971223583969656
"s__Hungatella_hathewayi",9,11,465358,68774,0.753289485244931,0.227368771686899,2.44008182499599,0.789294160692689,1,-0.42548946615528,0.896086903894454,0.634907733274857,0.971223583969656
"s__Bacteroides_ovatus",28,30,1595256,1917062,0.564893792552214,0.0802079872688512,3.21727399584982,0.708466026887811,1,-0.416979529910518,0.469207263956749,0.374170020227775,0.971223583969656
"s__Alistipes_finegoldii",27,22,449044,606491,2.2223565758156,0.631475089144447,8.57585639940758,0.260001661059441,1,0.415499148998233,0.506200611442355,0.411749296401956,0.971223583969656
"s__Alistipes_shahii",18,19,282942,207458,0.885863306075312,0.299262478698726,2.60770456796105,1,1,-0.404951759879529,0.494727191009601,0.41305148998806,0.971223583969656
"s__Bacteroides_stercoris",10,10,1400957,661495,1,0.306836972167323,3.25905966590846,1,1,-0.402243355376498,0.907260305821227,0.657505023753796,0.971223583969656
"s__Bacteroides_uniformis",33,33,5851098,4624172,0,0,Inf,1,1,-0.397412187245842,1.48790766959977,0.789396282034047,0.971223583969656
"s__Ruthenibacterium_lactatiformans",30,31,445198,585756,0.649422572641917,0.0508942811231897,6.09037414843262,1,1,0.380815855293313,0.328742311064387,0.24669989349559,0.971223583969656
"s__Bacteroides_cellulosilyticus",10,10,420657,271980,1,0.306836972167323,3.25905966590846,1,1,-0.364944421063546,0.729942327884614,0.617100874905347,0.971223583969656
"s__Parabacteroides_distasonis",23,27,444050,1108610,0.516344224881036,0.132331001049618,1.85564874091208,0.389433957719529,1,0.356833256317565,0.452055686168736,0.429903463211577,0.971223583969656
"s__Catabacter_hongkongensis",4,3,3174,735,1.37262431954402,0.211871093618264,10.1954588401875,1,1,-0.352544332463458,1.34740812978117,0.793594155887544,0.971223583969656
"s__Eubacterium_hallii",33,33,3039517,3654369,0,0,Inf,1,1,0.350163635562606,1.01322522489716,0.729648540313988,0.971223583969656
"s__Agathobaculum_butyriciproducens",27,24,188438,241315,1.6741344540437,0.45347171331827,6.62692775194746,0.557965593995684,1,0.320310383468702,0.366213622898687,0.381761938630802,0.971223583969656
"s__Proteobacteria_bacterium_CAG_139",12,8,173705,71210,1.77001602952034,0.544424376731697,6.03194404141246,0.422155198263282,1,0.31012416323429,0.867403299897512,0.720693810483661,0.971223583969656
"s__Anaeromassilibacillus_sp_An250",9,7,16137,12070,1.38586146327858,0.388620763853166,5.13608504454314,0.774649126350741,1,-0.296366749907641,0.837878997671991,0.723555718012665,0.971223583969656
"s__Dorea_formicigenerans",33,32,1603084,1216102,Inf,0.0256406640625001,Inf,1,1,-0.287113788636505,1.37014127818708,0.834018517758135,0.971223583969656
"s__Gemmiger_formicilis",29,29,191011,200562,1,0.168856502148237,5.92218829170172,1,1,-0.285440477136198,0.390496540668916,0.464798696226502,0.971223583969656
"s__Blautia_obeum",32,33,3368516,2702935,0,0,39.000549968693,1,1,-0.28242041849503,1.61123779818724,0.860858330372773,0.971223583969656
"s__Bifidobacterium_bifidum",17,14,1323833,1234075,1.43391522764266,0.490823930710517,4.25536852367815,0.622207913321461,1,0.270702073948786,1.07406752210573,0.801014395013349,0.971223583969656
"s__Eubacterium_ramulus",23,22,213683,246611,1.14756398333644,0.359925161454508,3.69618702146126,1,1,0.264371669490772,0.455626581753079,0.561754408035253,0.971223583969656
"s__Parasutterella_excrementihominis",16,12,77616,73538,1.63448906980673,0.552236084415414,4.95272520798971,0.455303478891767,1,-0.263753819963837,0.622598148417857,0.671832666340282,0.971223583969656
"s__Roseburia_intestinalis",20,23,1343619,1387395,0.673017027181058,0.212227616240395,2.0814404792088,0.605937513659104,1,-0.262744879758168,0.784482577142658,0.737679689088773,0.971223583969656
"s__Intestinibacter_bartlettii",25,20,279661,272657,2.00931712681222,0.626160533058809,6.80505460984948,0.290464048696213,1,-0.260904257146764,0.466623898429996,0.576071778055403,0.971223583969656
"s__Clostridium_leptum",24,22,130905,176843,1.32751089665728,0.409822322250051,4.39814136559203,0.789294160692689,1,0.260427877705471,0.484721708780941,0.591079065585115,0.971223583969656
"s__Bacteroides_xylanisolvens",21,18,1033077,1164398,1.44994696185294,0.487443356835685,4.39343190948619,0.617010258595774,1,0.259289533436768,0.759911569126759,0.732945389701612,0.971223583969656
"s__Dorea_longicatena",33,33,4903415,4985496,0,0,Inf,1,1,0.258051687923257,1.16246024282454,0.824323584156218,0.971223583969656
"s__Bifidobacterium_longum",33,33,5249501,4394195,0,0,Inf,1,1,-0.256493739022384,1.8166057225097,0.887716724758695,0.971223583969656
"s__Fusicatenibacter_saccharivorans",33,33,11563499,14224788,0,0,Inf,1,1,0.249036493933513,1.343666682522,0.852961600784441,0.971223583969656
"s__Alistipes_putredinis",31,29,2492389,2429847,2.11409276500662,0.278616305707082,25.0456833214553,0.672371344502492,1,-0.244450030625383,0.584144804763222,0.675599819405453,0.971223583969656
"s__Bacteroides_vulgatus",32,33,2948922,4945708,0,0,39.000549968693,1,1,0.244332623596753,1.85277864530975,0.895084256019431,0.971223583969656
"s__Clostridium_innocuum",13,11,99245,45183,1.29481884864611,0.42381710840967,4.01621345147759,0.798386634895356,1,-0.241847980356284,0.684489324632316,0.723843940497211,0.971223583969656
"s__Bifidobacterium_pseudocatenulatum",23,25,860794,1825544,0.73943847496602,0.212582674381894,2.49834826172619,0.782825121766587,1,0.232337948241038,0.777713415749996,0.7651346642966,0.971223583969656
"s__Adlercreutzia_equolifaciens",30,28,280384,261967,1.77024427101944,0.310822143619091,12.4675862598082,0.708466026887811,1,-0.232334625068802,0.308103631077806,0.450801499779305,0.971223583969656
"s__Anaerostipes_hadrus",33,33,6191390,8794192,0,0,Inf,1,1,0.22797883602747,1.16486533337844,0.844835113035898,0.971223583969656
"s__Lawsonibacter_asaccharolyticus",6,7,10965,8327,0.827802035345791,0.200334408657561,3.31562471194241,1,1,0.218084462794753,0.890687634341568,0.806572929197781,0.971223583969656
"s__Coprococcus_eutactus",23,20,986474,1076180,1.48584650850294,0.480436510190349,4.71192212264816,0.605937513659104,1,-0.211005645780159,0.81989852785991,0.796904116452963,0.971223583969656
"s__Eggerthella_lenta",24,27,457801,422202,0.597323588666731,0.150899487278419,2.20520921290221,0.557965593995684,1,-0.210179525872662,0.515976895741741,0.683756157279957,0.971223583969656
"s__Bacteroides_dorei",17,16,1784282,880158,1.1268307566904,0.386220655887868,3.3043633915397,1,1,0.209347754722816,0.837822754510806,0.802686976560166,0.971223583969656
"s__Lachnospira_pectinoschiza",12,15,124966,135936,0.689680399565833,0.227612495334416,2.05152041970919,0.617010258595774,1,-0.207757486096455,0.644937564036116,0.747349808797926,0.971223583969656
"s__Haemophilus_parainfluenzae",3,4,2467,2094,0.728531460328631,0.09808288333805,4.71985103263655,1,1,0.202866826649055,1.2335024716911,0.869365836063517,0.971223583969656
"s__Tyzzerella_nexilis",4,6,12492,7109,0.625176903893006,0.116473118226903,2.97085996235219,0.733016256202521,1,0.196125905980644,1.11839843236582,0.860794270072987,0.971223583969656
"s__Roseburia_inulinivorans",27,25,780514,740353,1.43205139429785,0.374552785972639,5.77634728077496,0.764248316797698,1,-0.195812376064227,0.458227363393603,0.669142041310262,0.971223583969656
"s__Gordonibacter_pamelaeae",28,30,241410,163141,0.564893792552214,0.0802079872688512,3.21727399584982,0.708466026887811,1,-0.184148062534891,0.374209037609387,0.622649039273563,0.971223583969656
"s__Asaccharobacter_celatus",31,28,403067,320618,2.72715832260041,0.406383443601171,30.798867662151,0.426649852879361,1,-0.175749947447526,0.298571022269084,0.556104815539294,0.971223583969656
"s__Dialister_invisus",25,24,221967,178660,1.16905883640628,0.336528171746518,4.12850674379174,1,1,-0.159321764716001,0.413611001600602,0.700091380349056,0.971223583969656
"s__Eubacterium_sp_CAG_180",7,7,150525,222090,1,0.258143609368294,3.87381272946137,1,1,-0.154100340269101,0.84745263477938,0.855708706145641,0.971223583969656
"s__Parabacteroides_merdae",21,21,798459,803157,1,0.32591619554353,3.06827342020331,1,1,-0.149003971285657,0.403694899629384,0.712052849537294,0.971223583969656
"s__Clostridium_sp_CAG_299",2,5,9428,12248,0.366682048384516,0.0324687261547899,2.46073016936539,0.426649852879361,1,0.148405493286078,1.42025871759691,0.916779017527078,0.971223583969656
"s__Firmicutes_bacterium_CAG_110",10,11,170953,132696,0.871411106065378,0.270549080496652,2.77835535576024,1,1,0.145441810831179,0.772343016418074,0.850631721013426,0.971223583969656
"s__Ruminococcus_torques",33,32,4316581,4559009,Inf,0.0256406640625001,Inf,1,1,0.140309296867253,1.41433539424825,0.920975418522359,0.971223583969656
"s__Turicibacter_sanguinis",14,9,46893,45086,1.94466072270705,0.6250300030541,6.31905949494885,0.301494589429181,1,-0.134625447483229,0.803035675374879,0.866862046379456,0.971223583969656
"s__Clostridium_sp_CAG_58",18,22,74987,86440,0.604721761302749,0.196175163580759,1.81528525062763,0.450169930329735,1,0.130935702726895,0.473879100499741,0.782312944207091,0.971223583969656
"s__Roseburia_sp_CAG_182",12,6,112540,298821,2.53446468971827,0.732022782002351,9.69630493105046,0.166109215801382,1,0.129576008258509,0.9854907260399,0.895392647007655,0.971223583969656
"s__Streptococcus_salivarius",24,24,135421,91589,1,0.293690156951524,3.40494897881462,1,1,-0.12914090119086,0.45743715101542,0.777702769432419,0.971223583969656
"s__Odoribacter_splanchnicus",19,19,407993,376986,1,0.337229773126096,2.96533722609979,1,1,-0.117903721129076,0.426462921908181,0.782187968126702,0.971223583969656
"s__Faecalibacterium_prausnitzii",33,33,6420545,4784302,0,0,Inf,1,1,-0.107864646048173,1.02692892788597,0.916347135293267,0.971223583969656
"s__Escherichia_coli",11,10,140921,121381,1.14756398333644,0.359925161454508,3.69618702146126,1,1,-0.106867095357921,0.755663477994956,0.887536936124131,0.971223583969656
"s__Collinsella_stercoris",12,14,7482,23702,0.778517607845399,0.256428026826708,2.33304160617139,0.80141272667929,1,-0.104622922191411,0.62325162471278,0.86668849036308,0.971223583969656
"s__Eubacterium_siraeum",21,13,296681,172218,2.65054989746895,0.893681873051686,8.21098553399764,0.0839501203898025,1,-0.0993541173308103,0.65518300063251,0.879468273818049,0.971223583969656
"s__Blautia_hydrogenotrophica",7,13,274677,167902,0.419857935522896,0.118045492525178,1.38450279487293,0.179843483059875,1,0.0938218023088597,0.98151023822834,0.923846823776015,0.971223583969656
"s__Barnesiella_intestinihominis",13,15,740233,516756,0.78295650146136,0.261868344790197,2.31406471126207,0.803595004408089,1,0.065052920356268,0.587562042727377,0.911841016292237,0.971223583969656
"s__Bacteroides_caccae",21,24,998210,1226852,0.660482525241526,0.201102772469706,2.10329744101404,0.597743397686042,1,-0.0513793571036363,0.517399741528601,0.920897680316249,0.971223583969656
"s__Coprococcus_comes",33,33,3610454,3342954,0,0,Inf,1,1,-0.0414328729631307,1.47891666879522,0.977649636151199,0.994966284645659
"s__Eubacterium_ventriosum",18,14,340808,122016,1.61649963138985,0.553587253393364,4.81869304201752,0.460297019030659,1,0.0359583543569906,0.616741687918804,0.953506679019472,0.985557323692395
"s__Firmicutes_bacterium_CAG_83",26,23,188674,141471,1.60316327285935,0.46205440386939,5.85483182241261,0.574337238662511,1,-0.0347640670179865,0.465257796787512,0.940437486859684,0.980286532913061
"s__Coprobacter_sp",9,8,60497,39022,1.16905883640628,0.336528171746518,4.12850674379174,1,1,0.0189461780356828,0.767638467020476,0.98030931360075,0.994966284645659
"s__Coprococcus_catus",30,24,850657,441979,3.67739175790617,0.801642566881929,23.4428565079115,0.10808140105752,1,0.00761766475897827,0.479409077115803,0.987322389927692,0.994966284645659
"s__Clostridium_symbiosum",10,7,39833,46747,1.60316327285935,0.46205440386939,5.85483182241261,0.57433723866251,1,-0.00566776058705776,0.898379894338482,0.994966284645659,0.994966284645659
