2022-02-01 16:17:00 INFO::Writing function arguments to log file
2022-02-01 16:17:00 DEBUG::Function arguments
2022-02-01 16:17:00 DEBUG::Output folder: TS/taxa_results/Maaslin2
2022-02-01 16:17:00 DEBUG::Min Abundance: 0.000000
2022-02-01 16:17:00 DEBUG::Min Prevalence: 0.100000
2022-02-01 16:17:00 DEBUG::Normalization: CSS
2022-02-01 16:17:00 DEBUG::Transform: NONE
2022-02-01 16:17:00 DEBUG::Analysis method: LM
2022-02-01 16:17:00 DEBUG::Max significance: 0.250000
2022-02-01 16:17:00 DEBUG::Random effects:
2022-02-01 16:17:00 DEBUG::Fixed effects: Status,Sex
2022-02-01 16:17:00 DEBUG::Correction method: BH
2022-02-01 16:17:00 DEBUG::Standardize: FALSE
2022-02-01 16:17:00 DEBUG::Cores: 1
2022-02-01 16:17:00 INFO::Verifying options selected are valid
2022-02-01 16:17:00 INFO::Determining format of input files
2022-02-01 16:17:00 INFO::Input format is data samples as rows and metadata samples as rows
2022-02-01 16:17:00 DEBUG::A total of 63 samples were found in both the data and metadata
2022-02-01 16:17:00 DEBUG::Reordering data/metadata to use same sample ordering
2022-02-01 16:17:01 INFO::Fitting model to feature number 39, s__Lactobacillus_rogosae
2022-02-01 16:17:01 INFO::Fitting model to feature number 40, s__Streptococcus_parasanguinis
2022-02-01 16:17:01 INFO::Fitting model to feature number 41, s__Streptococcus_salivarius
2022-02-01 16:17:01 INFO::Fitting model to feature number 42, s__Streptococcus_thermophilus
2022-02-01 16:17:01 INFO::Fitting model to feature number 43, s__Christensenella_minuta
2022-02-01 16:17:01 INFO::Fitting model to feature number 44, s__Clostridium_disporicum
2022-02-01 16:17:01 INFO::Fitting model to feature number 45, s__Clostridium_sp_CAG_167
2022-02-01 16:17:01 INFO::Fitting model to feature number 46, s__Clostridium_sp_CAG_299
2022-02-01 16:17:01 INFO::Fitting model to feature number 47, s__Clostridium_sp_CAG_58
2022-02-01 16:17:01 INFO::Fitting model to feature number 48, s__Hungatella_hathewayi
2022-02-01 16:17:01 INFO::Fitting model to feature number 49, s__Intestinimonas_butyriciproducens
2022-02-01 16:17:01 INFO::Fitting model to feature number 50, s__Lawsonibacter_asaccharolyticus
2022-02-01 16:17:01 INFO::Fitting model to feature number 51, s__Monoglobus_pectinilyticus
2022-02-01 16:17:01 INFO::Fitting model to feature number 52, s__Eubacterium_eligens
2022-02-01 16:17:01 INFO::Fitting model to feature number 53, s__Eubacterium_hallii
2022-02-01 16:17:01 INFO::Fitting model to feature number 54, s__Eubacterium_ramulus
2022-02-01 16:17:01 INFO::Fitting model to feature number 55, s__Eubacterium_sp_CAG_180
2022-02-01 16:17:01 INFO::Fitting model to feature number 56, s__Eubacterium_sp_CAG_274
2022-02-01 16:17:01 INFO::Fitting model to feature number 57, s__Eubacterium_sp_CAG_38
2022-02-01 16:17:01 INFO::Fitting model to feature number 58, s__Eubacterium_ventriosum
2022-02-01 16:17:01 INFO::Fitting model to feature number 59, s__Anaerostipes_hadrus
2022-02-01 16:17:01 INFO::Fitting model to feature number 60, s__Blautia_hydrogenotrophica
2022-02-01 16:17:01 INFO::Fitting model to feature number 61, s__Blautia_obeum
2022-02-01 16:17:01 INFO::Fitting model to feature number 62, s__Blautia_sp_CAG_257
2022-02-01 16:17:01 INFO::Fitting model to feature number 63, s__Blautia_wexlerae
2022-02-01 16:17:01 INFO::Fitting model to feature number 64, s__Ruminococcus_gnavus
2022-02-01 16:17:01 INFO::Fitting model to feature number 65, s__Ruminococcus_torques
2022-02-01 16:17:01 INFO::Fitting model to feature number 66, s__Coprococcus_catus
2022-02-01 16:17:01 INFO::Fitting model to feature number 67, s__Coprococcus_comes
2022-02-01 16:17:01 INFO::Fitting model to feature number 68, s__Coprococcus_eutactus
2022-02-01 16:17:01 INFO::Fitting model to feature number 69, s__Dorea_formicigenerans
2022-02-01 16:17:01 INFO::Fitting model to feature number 70, s__Dorea_longicatena
2022-02-01 16:17:01 INFO::Fitting model to feature number 71, s__Eisenbergiella_massiliensis
2022-02-01 16:17:01 INFO::Fitting model to feature number 72, s__Eisenbergiella_tayi
2022-02-01 16:17:01 INFO::Fitting model to feature number 73, s__Fusicatenibacter_saccharivorans
2022-02-01 16:17:01 INFO::Fitting model to feature number 74, s__Clostridium_bolteae
2022-02-01 16:17:01 INFO::Fitting model to feature number 75, s__Clostridium_scindens
2022-02-01 16:17:01 INFO::Fitting model to feature number 76, s__Clostridium_symbiosum
2022-02-01 16:17:01 INFO::Fitting model to feature number 77, s__Eubacterium_rectale
2022-02-01 16:17:01 INFO::Fitting model to feature number 78, s__Lachnospira_pectinoschiza
2022-02-01 16:17:01 INFO::Fitting model to feature number 79, s__Roseburia_faecis
2022-02-01 16:17:01 INFO::Fitting model to feature number 80, s__Roseburia_hominis
2022-02-01 16:17:01 INFO::Fitting model to feature number 81, s__Roseburia_intestinalis
2022-02-01 16:17:01 INFO::Fitting model to feature number 82, s__Roseburia_inulinivorans
2022-02-01 16:17:01 INFO::Fitting model to feature number 83, s__Roseburia_sp_CAG_182
2022-02-01 16:17:01 INFO::Fitting model to feature number 84, s__Roseburia_sp_CAG_471
2022-02-01 16:17:01 INFO::Fitting model to feature number 85, s__Sellimonas_intestinalis
2022-02-01 16:17:01 INFO::Fitting model to feature number 86, s__Tyzzerella_nexilis
2022-02-01 16:17:01 INFO::Fitting model to feature number 87, s__Oscillibacter_sp_57_20
2022-02-01 16:17:01 INFO::Fitting model to feature number 88, s__Oscillibacter_sp_CAG_241
2022-02-01 16:17:01 INFO::Fitting model to feature number 89, s__Intestinibacter_bartlettii
2022-02-01 16:17:01 INFO::Fitting model to feature number 90, s__Romboutsia_ilealis
2022-02-01 16:17:01 INFO::Fitting model to feature number 91, s__Agathobaculum_butyriciproducens
2022-02-01 16:17:01 INFO::Fitting model to feature number 92, s__Anaeromassilibacillus_sp_An250
2022-02-01 16:17:01 INFO::Fitting model to feature number 93, s__Anaerotruncus_colihominis
2022-02-01 16:17:01 INFO::Fitting model to feature number 94, s__Faecalibacterium_prausnitzii
2022-02-01 16:17:01 INFO::Fitting model to feature number 95, s__Flavonifractor_plautii
2022-02-01 16:17:01 INFO::Fitting model to feature number 96, s__Gemmiger_formicilis
2022-02-01 16:17:01 INFO::Fitting model to feature number 97, s__Clostridium_leptum
2022-02-01 16:17:01 INFO::Fitting model to feature number 98, s__Eubacterium_siraeum
2022-02-01 16:17:01 INFO::Fitting model to feature number 99, s__Ruminococcus_bicirculans
2022-02-01 16:17:01 INFO::Fitting model to feature number 100, s__Ruminococcus_bromii
2022-02-01 16:17:01 INFO::Fitting model to feature number 101, s__Ruminococcus_callidus
2022-02-01 16:17:01 INFO::Fitting model to feature number 102, s__Ruminococcus_lactaris
2022-02-01 16:17:01 INFO::Fitting model to feature number 103, s__Ruthenibacterium_lactatiformans
2022-02-01 16:17:01 INFO::Fitting model to feature number 104, s__Coprobacillus_cateniformis
2022-02-01 16:17:01 INFO::Fitting model to feature number 105, s__Clostridium_innocuum
2022-02-01 16:17:01 INFO::Fitting model to feature number 106, s__Clostridium_spiroforme
2022-02-01 16:17:01 INFO::Fitting model to feature number 107, s__Holdemania_filiformis
2022-02-01 16:17:01 INFO::Fitting model to feature number 108, s__Turicibacter_sanguinis
2022-02-01 16:17:01 INFO::Fitting model to feature number 109, s__Firmicutes_bacterium_CAG_110
2022-02-01 16:17:01 INFO::Fitting model to feature number 110, s__Firmicutes_bacterium_CAG_145
2022-02-01 16:17:01 INFO::Fitting model to feature number 111, s__Firmicutes_bacterium_CAG_83
2022-02-01 16:17:01 INFO::Fitting model to feature number 112, s__Phascolarctobacterium_faecium
2022-02-01 16:17:01 INFO::Fitting model to feature number 113, s__Dialister_invisus
2022-02-01 16:17:01 INFO::Fitting model to feature number 114, s__Parasutterella_excrementihominis
2022-02-01 16:17:01 INFO::Fitting model to feature number 115, s__Bilophila_wadsworthia
2022-02-01 16:17:01 INFO::Fitting model to feature number 116, s__Desulfovibrio_piger
2022-02-01 16:17:01 INFO::Fitting model to feature number 117, s__Escherichia_coli
2022-02-01 16:17:01 INFO::Fitting model to feature number 118, s__Haemophilus_parainfluenzae
2022-02-01 16:17:01 INFO::Fitting model to feature number 119, s__Proteobacteria_bacterium_CAG_139
2022-02-01 16:17:01 INFO::Fitting model to feature number 120, s__Akkermansia_muciniphila
2022-02-01 16:17:01 INFO::Counting total values for each feature
2022-02-01 16:17:01 WARNING::Deleting existing residuals file: TS/taxa_results/Maaslin2/residuals.rds
2022-02-01 16:17:01 INFO::Writing residuals to file TS/taxa_results/Maaslin2/residuals.rds
2022-02-01 16:17:01 WARNING::Deleting existing fitted file: TS/taxa_results/Maaslin2/fitted.rds
2022-02-01 16:17:01 INFO::Writing fitted values to file TS/taxa_results/Maaslin2/fitted.rds
2022-02-01 16:17:01 INFO::Writing all results to file (ordered by increasing q-values): TS/taxa_results/Maaslin2/all_results.tsv
2022-02-01 16:17:01 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.250000 ) to file (ordered by increasing q-values): TS/taxa_results/Maaslin2/significant_results.tsv
