feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Fusicatenibacter_saccharivorans	Status	TS	1689.5638605201	1160.09993729607	66	66	0.150172073314654	0.794226998549037
s__Clostridium_bolteae	Status	TS	26.2036445726115	17.1854063110497	66	12	0.132245317139855	0.794226998549037
s__Eubacterium_rectale	Status	TS	-1817.09478641306	1263.41592335366	66	66	0.155238322084792	0.794226998549037
s__Roseburia_faecis	Status	TS	-533.031077924281	309.553394820392	66	60	0.0899113703774055	0.794226998549037
s__Roseburia_hominis	Status	TS	-195.862650510543	136.187594203396	66	59	0.155254382583488	0.794226998549037
s__Oscillibacter_sp_57_20	Status	TS	-10.7582075467796	8.9474218424054	66	45	0.233645834287075	0.794226998549037
s__Oscillibacter_sp_CAG_241	Status	TS	-19.2684833168754	9.92963605606248	66	28	0.0567264029263879	0.794226998549037
s__Agathobaculum_butyriciproducens	Status	TS	25.8802573226835	23.6138849941678	66	51	0.277196225583443	0.794226998549037
s__Anaerotruncus_colihominis	Status	TS	8.87556475814439	6.44954849849368	66	23	0.173570651530316	0.794226998549037
s__Faecalibacterium_prausnitzii	Status	TS	-514.363529128297	393.165003264518	66	66	0.195463052520548	0.794226998549037
s__Flavonifractor_plautii	Status	TS	86.5801706097602	41.4352952894448	66	46	0.0406402631316062	0.794226998549037
s__Eubacterium_siraeum	Status	TS	-59.1430102329896	47.4872915533275	66	34	0.217507231691466	0.794226998549037
s__Ruminococcus_bicirculans	Status	TS	-203.681744259668	91.3583707258357	66	39	0.0292984378251095	0.794226998549037
s__Ruminococcus_bromii	Status	TS	-420.978264174097	269.705552579485	66	62	0.12348350855861	0.794226998549037
s__Ruminococcus_callidus	Status	TS	-7.5135185459246	3.77504914701554	66	17	0.0508315545509243	0.794226998549037
s__Ruminococcus_lactaris	Status	TS	152.484478139515	166.047624538958	66	41	0.361900531985063	0.794226998549037
s__Coprobacillus_cateniformis	Status	TS	-58.1149676066387	44.4589424489556	66	10	0.195835255231676	0.794226998549037
s__Clostridium_spiroforme	Status	TS	5.97874316564424	5.88013723070682	66	28	0.313091613986919	0.794226998549037
s__Holdemania_filiformis	Status	TS	7.08637295219683	4.99367955624692	66	19	0.160731121576953	0.794226998549037
s__Firmicutes_bacterium_CAG_83	Status	TS	-19.7395374529625	22.0137097142889	66	49	0.373243436355078	0.794226998549037
s__Bilophila_wadsworthia	Status	TS	2.33022328645215	2.35043177127163	66	22	0.325222767030388	0.794226998549037
s__Proteobacteria_bacterium_CAG_139	Status	TS	-27.1270912792932	29.108184509564	66	20	0.354869776125777	0.794226998549037
s__Akkermansia_muciniphila	Status	TS	-143.277816760995	112.917261006552	66	36	0.209081415444997	0.794226998549037
s__Clostridium_scindens	Status	TS	7.55789862088709	8.58767921388128	66	10	0.382105413388422	0.796592641470777
s__Bacteroides_uniformis	Status	TS	-354.237783687142	425.736043149951	66	66	0.40846925659908	0.823634730519456
s__Catabacter_hongkongensis	Status	TS	-0.527430596319503	0.626126408243248	66	7	0.402717413892414	0.823634730519456
s__Eisenbergiella_tayi	Status	TS	-10.2617101538117	12.6616351550872	66	23	0.420681091357947	0.834577003823023
s__Bifidobacterium_pseudocatenulatum	Status	TS	137.090668635393	177.946236838909	66	48	0.443894344456226	0.835634936509952
s__Gordonibacter_pamelaeae	Status	TS	-18.985442664826	24.7851015778571	66	58	0.446491019555426	0.835634936509952
s__Eubacterium_hallii	Status	TS	196.664638894164	249.416704474728	66	66	0.433316367517886	0.835634936509952
s__Blautia_sp_CAG_257	Status	TS	93.9378050406386	123.149843273459	66	16	0.448389478127291	0.835634936509952
s__Bacteroides_thetaiotaomicron	Status	TS	-37.1548514390254	52.6268212516355	66	30	0.482746570586394	0.841592185515056
s__Bacteroides_xylanisolvens	Status	TS	175.89930842102	250.899172250903	66	39	0.485797115216008	0.841592185515056
s__Eubacterium_ramulus	Status	TS	20.7447333368486	27.9320465411779	66	45	0.460389316666151	0.841592185515056
s__Dorea_formicigenerans	Status	TS	-96.8975141775087	137.965116354498	66	65	0.485017889859359	0.841592185515056
s__Roseburia_sp_CAG_182	Status	TS	43.1039765374882	59.6467910013153	66	18	0.472525216041475	0.841592185515056
s__Romboutsia_ilealis	Status	TS	-0.213682362671699	0.320681926911016	66	13	0.507590404603605	0.855255065291006
s__Clostridium_innocuum	Status	TS	-11.3620321057167	16.889141849671	66	24	0.503533420668565	0.855255065291006
s__Alistipes_shahii	Status	TS	-16.4012819437037	25.8950427171272	66	37	0.528745529937766	0.867142669097936
s__Phascolarctobacterium_faecium	Status	TS	5.5157371551798	8.63837918736453	66	19	0.525416721692207	0.867142669097936
s__Adlercreutzia_equolifaciens	Status	TS	-11.1582155787592	20.2990999692715	66	58	0.584445079957979	0.912368807834118
s__Bacteroides_intestinalis	Status	TS	-36.3223185668994	68.0966068841301	66	8	0.595608499060629	0.912368807834118
s__Barnesiella_intestinihominis	Status	TS	-54.0626516873686	97.5908775361541	66	28	0.58152823078697	0.912368807834118
s__Coprobacter_sp	Status	TS	-5.44613453445222	9.65370230891695	66	17	0.574623939609318	0.912368807834118
s__Clostridium_sp_CAG_299	Status	TS	1.98876836301841	3.78219844956214	66	7	0.600828239305395	0.912368807834118
s__Roseburia_sp_CAG_471	Status	TS	-7.51100966773822	14.0986038175979	66	32	0.596052718049993	0.912368807834118
s__Bacteroides_caccae	Status	TS	79.2455631481245	158.697485299725	66	45	0.619245252360599	0.922937819757072
s__Clostridium_sp_CAG_167	Status	TS	2.49190492688367	5.18478846675241	66	15	0.63242660141203	0.922937819757072
s__Ruminococcus_torques	Status	TS	183.693860727878	388.336116894765	66	65	0.637802558368709	0.922937819757072
s__Erysipelatoclostridium_ramosum	Status	TS	-15.3842259383998	31.4608934055558	66	7	0.626516719838394	0.922937819757072
s__Collinsella_stercoris	Status	TS	1.31159130425473	4.14415169964349	66	26	0.75265901553402	0.923626802518855
s__Bacteroides_cellulosilyticus	Status	TS	-22.8079489028057	59.4342891608122	66	20	0.702435175506393	0.923626802518855
s__Bacteroides_ovatus	Status	TS	91.6638187635165	343.645419090718	66	58	0.790527296409615	0.923626802518855
s__Alistipes_finegoldii	Status	TS	16.3776601882834	53.4808426424667	66	49	0.760420386587061	0.923626802518855
s__Streptococcus_thermophilus	Status	TS	-16.2203511969106	41.9951051964561	66	24	0.700597180005959	0.923626802518855
s__Lawsonibacter_asaccharolyticus	Status	TS	-0.423919852237676	1.68284791872461	66	13	0.801920740117395	0.923626802518855
s__Blautia_hydrogenotrophica	Status	TS	-18.0782365847137	52.5863842643427	66	20	0.73213736418331	0.923626802518855
s__Blautia_obeum	Status	TS	-118.846358129151	357.478254505764	66	65	0.740630245037517	0.923626802518855
s__Coprococcus_comes	Status	TS	-116.046805959292	323.963696012754	66	66	0.721365516221721	0.923626802518855
s__Roseburia_intestinalis	Status	TS	129.183431884449	300.22279019345	66	43	0.668428856344681	0.923626802518855
s__Roseburia_inulinivorans	Status	TS	-30.0231065603447	100.950155103731	66	52	0.767120354454977	0.923626802518855
s__Sellimonas_intestinalis	Status	TS	13.8081663752809	31.7272898177055	66	23	0.664871159270598	0.923626802518855
s__Tyzzerella_nexilis	Status	TS	-0.862021152791255	2.64552941971833	66	10	0.745607889913557	0.923626802518855
s__Intestinibacter_bartlettii	Status	TS	-8.04148273263671	29.5929917896506	66	45	0.786699639592429	0.923626802518855
s__Anaeromassilibacillus_sp_An250	Status	TS	-1.3761270781218	3.25409681180027	66	16	0.673792637685965	0.923626802518855
s__Gemmiger_formicilis	Status	TS	-4.89761554292805	19.5998436786092	66	58	0.803480226581443	0.923626802518855
s__Clostridium_leptum	Status	TS	-8.86851691154878	29.438878866955	66	46	0.764199064691432	0.923626802518855
s__Turicibacter_sanguinis	Status	TS	-2.42151600987448	8.49514471035771	66	23	0.77652849887423	0.923626802518855
s__Firmicutes_bacterium_CAG_110	Status	TS	-9.36003801855501	22.6316085868999	66	21	0.680562486420419	0.923626802518855
s__Dialister_invisus	Status	TS	-10.7316977667401	24.0935623715286	66	49	0.657521003657321	0.923626802518855
s__Parasutterella_excrementihominis	Status	TS	-3.23856665691325	10.2025090546539	66	28	0.751951818316835	0.923626802518855
s__Desulfovibrio_piger	Status	TS	-2.09255141673487	7.54567280856109	66	8	0.782429686100807	0.923626802518855
s__Dorea_longicatena	Status	TS	-160.524673866796	668.546137901369	66	66	0.811012330946333	0.923652932466657
s__Eggerthella_lenta	Status	TS	15.2481069639734	68.8219247138678	66	51	0.825362730981557	0.931372623034234
s__Prevotella_copri	Status	TS	-27.7544873881218	140.053308122127	66	9	0.843539503086449	0.93840260099988
s__Alistipes_indistinctus	Status	TS	2.49287168467869	13.9097210819751	66	12	0.858332747373639	0.93840260099988
s__Ruthenibacterium_lactatiformans	Status	TS	13.8783416141821	79.5823555437554	66	61	0.862109706609646	0.93840260099988
s__Firmicutes_bacterium_CAG_145	Status	TS	1.80404023009209	10.2749336165444	66	17	0.861180748490811	0.93840260099988
s__Clostridium_sp_CAG_58	Status	TS	-2.21358388118707	13.8014630744887	66	40	0.873080904309718	0.942008344123643
s__Lachnospira_pectinoschiza	Status	TS	-2.35898339575978	16.6719267484658	66	27	0.887923875819715	0.949692493268043
s__Clostridium_symbiosum	Status	TS	0.998425463256058	8.54755700558247	66	17	0.907377761914504	0.953909954833197
s__Escherichia_coli	Status	TS	3.62890792028897	30.1839235710938	66	21	0.904680349350844	0.953909954833197
s__Eubacterium_sp_CAG_180	Status	TS	2.7165901132337	29.6619886810387	66	14	0.927313914964975	0.966606877463491
s__Coprococcus_eutactus	Status	TS	-12.6230091633925	167.869303991486	66	43	0.940293752824584	0.97190026552457
s__Parabacteroides_merdae	Status	TS	-4.48647227868202	79.3362815972531	66	42	0.955079789804723	0.97895678454984
s__Odoribacter_splanchnicus	Status	TS	-1.49690722983018	39.4875432326051	66	38	0.96987876264219	0.985411193250509
s__Haemophilus_parainfluenzae	Status	TS	-0.0150494305378995	0.529164207132099	66	7	0.977399720134651	0.985411193250509
s__Alistipes_putredinis	Status	TS	1.64761315450422	191.954023726537	66	60	0.993178242419637	0.993178242419637
