feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Eubacterium_ventriosum	Status	TS	-43.1276276827555	33.7313215819512	66	32	0.205668050898896	0.782304466509809
s__Anaerostipes_hadrus	Status	TS	1056.82319418632	856.50446244436	66	66	0.221759870861437	0.782304466509809
s__Blautia_wexlerae	Status	TS	1100.25265134467	902.376797396335	66	66	0.227211534220223	0.782304466509809
s__Ruminococcus_gnavus	Status	TS	776.169900008687	520.868885327401	66	52	0.141098373090423	0.782304466509809
s__Coprococcus_catus	Status	TS	-124.119870689506	67.8302828294366	66	54	0.0719289015670566	0.782304466509809
s__Eisenbergiella_massiliensis	Status	TS	80.3708219911552	85.4026098740297	66	9	0.350201718610014	0.782304466509809
s__Fusicatenibacter_saccharivorans	Status	TS	1657.98749248301	1161.01728627457	66	66	0.158140139186762	0.782304466509809
s__Clostridium_bolteae	Status	TS	26.2031891844939	17.1854154081003	66	12	0.132252122719815	0.782304466509809
s__Clostridium_scindens	Status	TS	7.55430597605766	8.58767414383296	66	10	0.382330074749715	0.782304466509809
s__Eubacterium_rectale	Status	TS	-1831.33994428329	1263.44491826023	66	66	0.15208588825374	0.782304466509809
s__Roseburia_faecis	Status	TS	-535.383696977265	309.419866831495	66	60	0.0883995739618139	0.782304466509809
s__Roseburia_hominis	Status	TS	-199.186156528751	136.300551239091	66	59	0.148805364095317	0.782304466509809
s__Oscillibacter_sp_57_20	Status	TS	-10.9944821311608	8.9486580183255	66	45	0.223713807521745	0.782304466509809
s__Oscillibacter_sp_CAG_241	Status	TS	-19.5323432672451	9.98488822539661	66	28	0.0548098149931101	0.782304466509809
s__Agathobaculum_butyriciproducens	Status	TS	25.3554456869109	23.6323999004484	66	51	0.287340287847714	0.782304466509809
s__Anaerotruncus_colihominis	Status	TS	8.87571530989531	6.44887545287523	66	23	0.173519219529226	0.782304466509809
s__Faecalibacterium_prausnitzii	Status	TS	-531.038637972805	393.92109348394	66	66	0.182383590538331	0.782304466509809
s__Flavonifractor_plautii	Status	TS	86.2285262859746	41.4364157896462	66	46	0.0414420361413435	0.782304466509809
s__Eubacterium_siraeum	Status	TS	-59.7359304867009	47.4947737488235	66	34	0.213056789009229	0.782304466509809
s__Ruminococcus_bicirculans	Status	TS	-205.464413321307	91.5812511380107	66	39	0.0283313447853075	0.782304466509809
s__Ruminococcus_bromii	Status	TS	-430.098190998523	270.319580006613	66	62	0.116521002633169	0.782304466509809
s__Ruminococcus_callidus	Status	TS	-7.51318086500439	3.77458658927525	66	17	0.0508141252069512	0.782304466509809
s__Ruminococcus_lactaris	Status	TS	151.210923826542	166.022346138175	66	41	0.365825528352586	0.782304466509809
s__Coprobacillus_cateniformis	Status	TS	-57.9883616447288	44.3392636239783	66	10	0.195608225705988	0.782304466509809
s__Clostridium_spiroforme	Status	TS	5.87320077752217	5.89463409167445	66	28	0.322825655618889	0.782304466509809
s__Holdemania_filiformis	Status	TS	7.06587839323219	4.99420767608786	66	19	0.161970013116279	0.782304466509809
s__Firmicutes_bacterium_CAG_83	Status	TS	-19.9735672908197	22.0147762738337	66	49	0.367662259408874	0.782304466509809
s__Bilophila_wadsworthia	Status	TS	2.23624596392107	2.37035673040859	66	22	0.349013148409219	0.782304466509809
s__Proteobacteria_bacterium_CAG_139	Status	TS	-27.2544184894312	29.0948827458022	66	20	0.352412420552259	0.782304466509809
s__Akkermansia_muciniphila	Status	TS	-144.353514873939	112.910333018754	66	36	0.205697469171781	0.782304466509809
s__Eisenbergiella_tayi	Status	TS	-10.8042544037895	12.8768707506994	66	23	0.404568029881641	0.796292630243229
s__Bifidobacterium_pseudocatenulatum	Status	TS	134.305167580952	178.047518345105	66	48	0.45342249049314	0.829801310274396
s__Gordonibacter_pamelaeae	Status	TS	-19.7818087028856	24.8833006631084	66	58	0.429561604187234	0.829801310274396
s__Bacteroides_thetaiotaomicron	Status	TS	-37.8352237588641	52.6663056732285	66	30	0.475128169592598	0.829801310274396
s__Eubacterium_hallii	Status	TS	191.665570295928	249.39260350276	66	66	0.444999398393668	0.829801310274396
s__Eubacterium_ramulus	Status	TS	20.3424962867729	27.9339073576785	66	45	0.469124909045803	0.829801310274396
s__Blautia_sp_CAG_257	Status	TS	93.9286307488744	123.149705901522	66	16	0.448433095959212	0.829801310274396
s__Dorea_formicigenerans	Status	TS	-99.7490776686685	137.864695579074	66	65	0.471991342614283	0.829801310274396
s__Roseburia_sp_CAG_182	Status	TS	43.0856290239729	59.6465030745169	66	18	0.472710836433362	0.829801310274396
s__Bacteroides_xylanisolvens	Status	TS	175.58263890318	250.893536822858	66	39	0.486570002547825	0.837981671054588
s__Clostridium_innocuum	Status	TS	-11.4943100485393	16.892805936172	66	24	0.498688765173903	0.847087765500877
s__Romboutsia_ilealis	Status	TS	-0.213682362671699	0.320681926911016	66	13	0.507590404603605	0.850556894200636
s__Alistipes_shahii	Status	TS	-16.7072373877926	25.8742138210337	66	37	0.520775686361365	0.86101580145079
s__Phascolarctobacterium_faecium	Status	TS	5.43240069590979	8.64293867709973	66	19	0.531889496905285	0.867819705477043
s__Adlercreutzia_equolifaciens	Status	TS	-12.6398856458838	20.4883828169231	66	58	0.539469894737223	0.8687567136028
s__Collinsella_stercoris	Status	TS	1.27136787596236	4.14711322058877	66	26	0.760168183629236	0.905738146083669
s__Bacteroides_caccae	Status	TS	76.7904409241437	158.70245425367	66	45	0.630133784677384	0.905738146083669
s__Bacteroides_cellulosilyticus	Status	TS	-25.6159032436447	60.4362308317779	66	20	0.673096328618585	0.905738146083669
s__Bacteroides_intestinalis	Status	TS	-36.3224093852619	68.0966084285729	66	8	0.595607589717718	0.905738146083669
s__Barnesiella_intestinihominis	Status	TS	-54.3392737577085	97.4185352795662	66	28	0.578932428485563	0.905738146083669
s__Coprobacter_sp	Status	TS	-5.49764162356035	9.65218356851192	66	17	0.570959900529913	0.905738146083669
s__Alistipes_finegoldii	Status	TS	15.5750521231359	53.4847535531894	66	49	0.771835891717564	0.905738146083669
s__Streptococcus_thermophilus	Status	TS	-16.2101643622129	41.9695550502108	66	24	0.700602767441171	0.905738146083669
s__Clostridium_sp_CAG_167	Status	TS	2.27332471429196	5.28457890854025	66	15	0.668509192356484	0.905738146083669
s__Clostridium_sp_CAG_299	Status	TS	1.98879286215436	3.78200960754507	66	7	0.600805625148204	0.905738146083669
s__Lawsonibacter_asaccharolyticus	Status	TS	-0.49959110044149	1.70164064695257	66	13	0.770018316020703	0.905738146083669
s__Blautia_hydrogenotrophica	Status	TS	-18.353200930542	52.5895267864304	66	20	0.728242661302453	0.905738146083669
s__Blautia_obeum	Status	TS	-127.02042463625	358.185115592494	66	65	0.724038445689633	0.905738146083669
s__Ruminococcus_torques	Status	TS	172.449393685889	388.647231980932	66	65	0.658743731852431	0.905738146083669
s__Coprococcus_comes	Status	TS	-120.339620983011	323.665145371764	66	66	0.711267832374082	0.905738146083669
s__Roseburia_intestinalis	Status	TS	127.953140383291	300.228382423543	66	43	0.671402312724529	0.905738146083669
s__Roseburia_inulinivorans	Status	TS	-30.4568988938529	100.898812446023	66	52	0.763740658613912	0.905738146083669
s__Roseburia_sp_CAG_471	Status	TS	-7.51414168877394	14.0982644175036	66	32	0.595890986436629	0.905738146083669
s__Sellimonas_intestinalis	Status	TS	13.7635949354651	31.726227484282	66	23	0.665875255173491	0.905738146083669
s__Tyzzerella_nexilis	Status	TS	-0.863946548978195	2.64524652111632	66	10	0.745033566069122	0.905738146083669
s__Intestinibacter_bartlettii	Status	TS	-8.59990553848516	29.6203329997877	66	45	0.772496438463877	0.905738146083669
s__Anaeromassilibacillus_sp_An250	Status	TS	-1.39374250113352	3.25154232247803	66	16	0.669624201730117	0.905738146083669
s__Clostridium_leptum	Status	TS	-10.4636110741647	30.2687937067016	66	46	0.730709643920668	0.905738146083669
s__Erysipelatoclostridium_ramosum	Status	TS	-15.386196744494	31.4608342148572	66	7	0.626471968519287	0.905738146083669
s__Turicibacter_sanguinis	Status	TS	-2.44668387669039	8.49475971076672	66	23	0.774260028103781	0.905738146083669
s__Firmicutes_bacterium_CAG_110	Status	TS	-10.9126771466269	23.839759348394	66	21	0.648681559169192	0.905738146083669
s__Dialister_invisus	Status	TS	-10.9366098146265	24.0916936572889	66	49	0.651395014639099	0.905738146083669
s__Parasutterella_excrementihominis	Status	TS	-3.41614390840162	10.2236556642586	66	28	0.739365535626545	0.905738146083669
s__Desulfovibrio_piger	Status	TS	-2.59257021066953	7.92610078837489	66	8	0.744665165089302	0.905738146083669
s__Bacteroides_ovatus	Status	TS	88.2117189712247	343.313802521171	66	58	0.798047828958198	0.914621255074322
s__Dorea_longicatena	Status	TS	-166.552796726192	668.27144983167	66	66	0.803981587121783	0.914621255074322
s__Gemmiger_formicilis	Status	TS	-5.19494620182676	19.5908408036496	66	58	0.791729052854129	0.914621255074322
s__Eggerthella_lenta	Status	TS	14.6288031128349	68.8120355857701	66	51	0.832321847022243	0.935876665572905
s__Prevotella_copri	Status	TS	-27.7552333318726	140.053315401009	66	9	0.843535361591229	0.935876665572905
s__Alistipes_indistinctus	Status	TS	2.4588976574126	13.909469459732	66	12	0.860240479763434	0.935876665572905
s__Clostridium_sp_CAG_58	Status	TS	-2.49276895306497	13.8093740149973	66	40	0.857320387683198	0.935876665572905
s__Firmicutes_bacterium_CAG_145	Status	TS	1.81386454518969	10.2727054944204	66	17	0.860402740929929	0.935876665572905
s__Ruthenibacterium_lactatiformans	Status	TS	13.1576474402622	79.5651640586742	66	61	0.869174455453065	0.937196804140697
s__Lachnospira_pectinoschiza	Status	TS	-2.37601506719046	16.6647524806603	66	27	0.88707196090017	0.948249337513975
s__Clostridium_symbiosum	Status	TS	0.996893432911463	8.54684299980359	66	17	0.907511541725589	0.953656196389602
s__Escherichia_coli	Status	TS	3.52486203080302	30.1725195702353	66	21	0.907365681473979	0.953656196389602
s__Parabacteroides_merdae	Status	TS	-7.31015273435965	79.5336218628115	66	42	0.927054467211578	0.96268983455087
s__Eubacterium_sp_CAG_180	Status	TS	2.43595676559951	29.6700500677434	66	14	0.934822203003075	0.96268983455087
s__Coprococcus_eutactus	Status	TS	-12.8112952783723	167.85276610957	66	43	0.939398951456897	0.96268983455087
s__Odoribacter_splanchnicus	Status	TS	-2.25228013081216	39.5501555872875	66	38	0.954764486133746	0.97041636295561
s__Alistipes_putredinis	Status	TS	-6.67375292269323	192.500961449342	66	60	0.972451843629006	0.976952252703559
s__Haemophilus_parainfluenzae	Status	TS	-0.0153443259495684	0.529055415972327	66	7	0.976952252703559	0.976952252703559
